,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1
0,2015-01-28,1375586,N,ES,H,35,2015-01-12,0,6,1,2015-07-15,1,A,S,N,N,KHL,N,1,29,MALAGA,1,87218.1,0,0,1,0,0
1,2015-01-28,1050611,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,S,N,KHE,N,1,13,CIUDAD REAL,0,35548.74,0,0,1,0,0
2,2015-01-28,1050612,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,13,CIUDAD REAL,0,122179.11,0,0,1,0,0
3,2015-01-28,1050613,N,ES,H,22,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHD,N,1,50,ZARAGOZA,0,119775.54,0,0,0,0,0
4,2015-01-28,1050614,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,50,ZARAGOZA,1,139646.15094039,0,0,1,0,0
5,2015-01-28,1050615,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,22220.04,0,0,1,0,0
6,2015-01-28,1050616,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,24,LEON,0,295590.36,0,0,1,0,0
7,2015-01-28,1050617,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,50,ZARAGOZA,1,113316.66,0,0,1,0,0
8,2015-01-28,1050619,N,ES,H,24,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,20,GIPUZKOA,0,139646.15094039,0,0,1,0,0
9,2015-01-28,1050620,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,10,CACERES,0,113194.98,0,0,1,0,0
10,2015-01-28,1050621,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,50,ZARAGOZA,0,72575.88,0,0,1,0,0
11,2015-01-28,1050622,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,17,GIRONA,0,139646.15094039,0,0,1,0,0
12,2015-01-28,1050623,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,49,ZAMORA,1,113538.81,0,0,1,0,0
13,2015-01-28,1050624,N,ES,H,65,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,50,ZARAGOZA,1,61605.09,0,0,1,0,0
14,2015-01-28,1050625,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,49,ZAMORA,1,139646.15094039,0,0,1,0,0
15,2015-01-28,1050626,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,8,BARCELONA,1,139646.15094039,0,0,1,0,0
16,2015-01-28,1050610,N,ES,V,24,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,37,SALAMANCA,1,68318.46,0,0,1,0,0
17,2015-01-28,1050627,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,13,CIUDAD REAL,0,65608.35,0,0,1,0,0
18,2015-01-28,1050609,N,ES,H,22,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KFA,N,1,13,CIUDAD REAL,1,73432.47,0,0,1,0,0
19,2015-01-28,1050605,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,139646.15094039,0,0,1,0,0
20,2015-01-28,1050582,N,ES,V,28,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,13,CIUDAD REAL,1,64620.57,0,0,1,0,0
21,2015-01-28,1050586,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,13,CIUDAD REAL,1,64194.99,0,0,1,0,0
22,2015-01-28,1050588,N,ES,H,22,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,9,BURGOS,1,139646.15094039,0,0,1,0,0
23,2015-01-28,1050589,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,22,HUESCA,0,119173.89,0,0,1,0,0
24,2015-01-28,1050591,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,13,CIUDAD REAL,1,58728.39,0,0,1,0,0
25,2015-01-28,1050592,N,ES,H,22,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHD,N,1,31,NAVARRA,0,139646.15094039,0,0,1,0,0
26,2015-01-28,1050595,N,ES,V,25,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,5,AVILA,1,86863.38,0,0,1,0,0
27,2015-01-28,1050596,N,ES,H,25,2012-08-10,0,35,1,2015-07-15,1,A,S,S,N,KHE,N,1,50,ZARAGOZA,1,68421.36,0,0,1,0,0
28,2015-01-28,1050597,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,45,TOLEDO,0,139646.15094039,0,0,1,0,0
29,2015-01-28,1050598,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,45,TOLEDO,1,90408.75,0,0,1,0,0
30,2015-01-28,1050599,N,ES,V,24,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,49,ZAMORA,0,74780.37,0,0,1,0,0
31,2015-01-28,1050601,N,ES,V,26,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,45,TOLEDO,0,120146.49,0,0,1,0,0
32,2015-01-28,1050602,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,37,SALAMANCA,1,91282.71,0,0,1,0,0
33,2015-01-28,1050603,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,50,ZARAGOZA,1,131351.94,0,0,1,0,0
34,2015-01-28,1050604,N,ES,H,53,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,37,SALAMANCA,0,113279.1,0,0,1,0,0
35,2015-01-28,1050607,N,ES,V,27,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,40,SEGOVIA,0,70777.59,0,0,1,0,0
36,2015-01-28,1050580,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,27,LUGO,1,77320.92,0,0,1,0,0
37,2015-01-28,1050628,N,ES,V,22,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,25,LERIDA,0,139646.15094039,0,0,1,0,0
38,2015-01-28,1050630,N,ES,V,22,2012-08-10,0,35,1,2015-07-15,1,I,S,S,N,KHD,N,1,8,BARCELONA,0,64398.06,0,0,1,0,0
39,2015-01-28,1050669,N,ES,V,32,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,29,MALAGA,1,171398.85,0,0,1,0,0
40,2015-01-28,1050670,N,ES,V,37,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,37,SALAMANCA,1,64031.25,0,0,1,0,0
41,2015-01-28,1050676,N,ES,V,31,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,45,TOLEDO,0,90431.85,0,0,1,0,0
42,2015-01-28,1050679,N,ES,V,39,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,28,MADRID,1,157191.69,0,0,1,0,0
43,2015-01-28,1050680,N,ES,V,53,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,8,BARCELONA,0,133092.33,0,0,0,0,0
44,2015-01-28,1050686,N,ES,V,39,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,10,CACERES,1,37075.26,0,0,1,0,0
45,2015-01-28,1050688,N,ES,V,63,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,28,MADRID,1,245052.27,0,0,1,0,0
46,2015-01-28,1050693,N,ES,V,37,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,8,BARCELONA,0,104035.08,0,0,0,0,0
47,2015-01-28,1050694,N,ES,V,31,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,28,MADRID,1,57155.34,0,0,1,0,0
48,2015-01-28,1050697,N,ES,H,33,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,28,MADRID,1,139646.15094039,0,0,1,0,0
49,2015-01-28,1050703,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,22,HUESCA,0,53631.36,0,0,1,0,0
50,2015-01-28,1050704,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,8,BARCELONA,0,72880.8,0,0,1,0,0
51,2015-01-28,1050706,N,ES,H,33,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,37,SALAMANCA,1,84061.95,0,0,1,0,0
52,2015-01-28,1050707,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,3,ALICANTE,0,106686.96,0,0,1,0,0
53,2015-01-28,1050710,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,3,ALICANTE,0,132398.4,0,0,1,0,0
54,2015-01-28,1050663,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,42,SORIA,1,148080.45,0,0,1,0,0
55,2015-01-28,1050629,N,ES,V,55,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,50,ZARAGOZA,0,101919.09,0,0,1,0,0
56,2015-01-28,1050662,N,ES,V,37,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KAT,N,1,28,MADRID,1,122456.91,0,0,1,0,0
57,2015-01-28,1050660,N,ES,H,32,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KFC,N,1,41,SEVILLA,1,94683.27,0,0,0,0,1
58,2015-01-28,1050632,N,ES,H,23,2012-08-10,0,35,1,2015-07-15,1,I,S,N,N,KHE,N,1,8,BARCELONA,0,289211.4,0,0,1,0,0
59,2015-01-28,1050633,N,ES,V,23,2012-08-10,0,35,1,2015-07-15,1,A,S,N,N,KHE,N,1,45,TOLEDO,1,34406.58,0,0,1,0,0
