,ncodpers,ind_empleado,pais_residencia,sexo,age,ind_nuevo,antiguedad,indrel,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,,,,,
0,1375586,0,0,H,35,0,6,1,1,1,1,0,0,KHL,N,1,29,MALAGA,1,87218.1,0,0,1,0,0,,,,,
1,1050611,0,0,V,23,0,35,1,1,0,1,1,0,KHE,N,1,13,CIUDAD REAL,0,35548.74,0,0,1,0,0,,,,,
2,1050612,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,13,CIUDAD REAL,0,122179.11,0,0,1,0,0,,,,,
3,1050613,0,0,H,22,0,35,1,1,0,1,0,0,KHD,N,1,50,ZARAGOZA,0,119775.54,0,0,0,0,0,,,,,
4,1050614,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,50,ZARAGOZA,1,139646.15094039,0,0,1,0,0,,,,,
5,1050615,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,22220.04,0,0,1,0,0,,,,,
6,1050616,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,24,LEON,0,295590.36,0,0,1,0,0,,,,,
7,1050617,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,50,ZARAGOZA,1,113316.66,0,0,1,0,0,,,,,
8,1050619,0,0,H,24,0,35,1,1,0,1,0,0,KHE,N,1,20,GIPUZKOA,0,139646.15094039,0,0,1,0,0,,,,,
9,1050620,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,10,CACER0,0,113194.98,0,0,1,0,0,,,,,
10,1050621,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,50,ZARAGOZA,0,72575.88,0,0,1,0,0,,,,,
11,1050622,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,17,GIRONA,0,139646.15094039,0,0,1,0,0,,,,,
12,1050623,0,0,H,23,0,35,1,1,1,1,0,0,KHE,N,1,49,ZAMORA,1,113538.81,0,0,1,0,0,,,,,
13,1050624,0,0,H,65,0,35,1,1,1,1,0,0,KHE,N,1,50,ZARAGOZA,1,61605.09,0,0,1,0,0,,,,,
14,1050625,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,49,ZAMORA,1,139646.15094039,0,0,1,0,0,,,,,
15,1050626,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,8,BARCELONA,1,139646.15094039,0,0,1,0,0,,,,,
16,1050610,0,0,V,24,0,35,1,1,0,1,0,0,KHE,N,1,37,SALAMANCA,1,68318.46,0,0,1,0,0,,,,,
17,1050627,0,0,H,23,0,35,1,1,0,1,0,0,KHE,N,1,13,CIUDAD REAL,0,65608.35,0,0,1,0,0,,,,,
18,1050609,0,0,H,22,0,35,1,1,0,1,0,0,KFA,N,1,13,CIUDAD REAL,1,73432.47,0,0,1,0,0,,,,,
19,1050605,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,45,TOLEDO,0,139646.15094039,0,0,1,0,0,,,,,
20,1050582,0,0,V,28,0,35,1,1,0,1,0,0,KHE,N,1,13,CIUDAD REAL,1,64620.57,0,0,1,0,0,,,,,
21,1050586,0,0,V,23,0,35,1,1,1,1,0,0,KHE,N,1,13,CIUDAD REAL,1,64194.99,0,0,1,0,0,,,,,
22,1050588,0,0,H,22,0,35,1,1,0,1,0,0,KHE,N,1,9,BURGOS,1,139646.15094039,0,0,1,0,0,,,,,
23,1050589,0,0,V,23,0,35,1,1,0,1,0,0,KHE,N,1,22,HU0CA,0,119173.89,0,0,1,0,0,,,,,
